opponent,n_shots_mean,n_shots_max,entry_last_third_mean,entry_last_third_max,shot_10_15_mean,shot_10_15_max,progression_mean,progression_max,transition_speed_mean,transition_speed_max,n_games
AVS,0.0,0,0.42,1,0.0,0,26.53,54.9,0.0,0.0,2
Alverca,0.12,1,0.38,1,0.12,1,24.81,47.7,0.5,4.0,1
Benfica,0.0,0,0.33,1,0.0,0,34.62,69.0,0.0,0.0,1
Casa Pia AC,0.1,1,0.53,1,0.1,1,41.03,91.1,7.9,79.0,2
Estoril,0.0,0,0.38,1,0.0,0,28.74,59.1,0.0,0.0,1
Estrela Amadora,0.0,0,0.5,1,0.0,0,39.45,58.7,0.0,0.0,1
FC Arouca,0.25,1,0.5,1,0.25,1,42.71,56.1,1.0,7.0,2
FC Porto,0.0,0,0.38,1,0.0,0,27.71,53.3,0.0,0.0,1
Gil Vicente,0.08,1,0.45,1,0.08,1,27.98,49.3,28.75,345.0,2
Moreirense,0.0,0,0.2,1,0.0,0,19.38,27.8,0.0,0.0,1
Nacional,0.0,0,0.42,1,0.0,0,37.8,102.6,0.0,0.0,2
Rio Ave,0.0,0,0.12,1,0.0,0,28.83,71.2,0.0,0.0,2
Santa Clara,0.0,0,0.38,1,0.0,0,37.44,67.4,0.0,0.0,2
Sporting Braga,0.83,2,0.83,1,0.67,1,29.08,71.5,12.33,60.0,1
Sporting CP,0.12,1,0.57,1,0.12,1,33.22,48.6,0.38,3.0,2
Tondela,0.0,0,0.56,1,0.0,0,36.91,76.8,0.0,0.0,2
Vitória Guimarães,0.0,0,0.78,1,0.0,0,35.97,58.3,0.0,0.0,2
