opponent,n_shots_mean,n_shots_max,shot_occurred_mean,shot_occurred_max,entry_last_third_mean,entry_last_third_max,shot_10_15_mean,shot_10_15_max,progression_mean,progression_max,transition_speed_mean,transition_speed_max,shot_rate_mean,shot_rate_max,n_games
AVS,0.0,0,0.0,0,0.22,1,0.0,0,9.02,21,,,0.0,0,2
Alverca,0.12,1,0.12,1,0.25,1,0.0,0,7.62,21,4.0,4.0,0.12,1,1
Benfica,0.0,0,0.0,0,0.17,1,0.0,0,8.83,23,,,0.0,0,1
Casa Pia AC,0.0,0,0.0,0,0.34,1,0.0,0,20.96,67,,,0.0,0,2
Estoril,0.12,1,0.12,1,0.25,1,0.12,1,14.75,26,13.0,13.0,0.12,1,1
Estrela Amadora,0.0,0,0.0,0,0.5,1,0.0,0,32.5,59,,,0.0,0,1
FC Arouca,0.25,1,0.25,1,0.25,1,0.0,0,13.0,34,4.0,7.0,0.25,1,2
FC Porto,0.0,0,0.0,0,0.38,1,0.0,0,17.25,52,,,0.0,0,1
Gil Vicente,0.0,0,0.0,0,0.38,1,0.0,0,14.12,39,,,0.0,0,2
Moreirense,0.0,0,0.0,0,0.2,1,0.0,0,11.6,23,,,0.0,0,1
Nacional,0.0,0,0.0,0,0.33,1,0.0,0,21.08,41,,,0.0,0,2
Rio Ave,0.0,0,0.0,0,0.12,1,0.0,0,21.62,71,,,0.0,0,2
Santa Clara,0.0,0,0.0,0,0.38,1,0.0,0,13.96,42,,,0.0,0,2
Sporting Braga,0.5,1,0.5,1,0.67,1,0.0,0,17.0,42,4.67,10.0,0.5,1,1
Sporting CP,0.12,1,0.12,1,0.35,1,0.0,0,6.65,13,3.0,3.0,0.12,1,2
Tondela,0.0,0,0.0,0,0.35,1,0.0,0,18.8,49,,,0.0,0,2
Vitória Guimarães,0.0,0,0.0,0,0.45,1,0.0,0,22.95,51,,,0.0,0,2
