opponent,pattern_to_40,pattern_to_60,n_shots_mean,n_shots_max,shot_occurred_mean,shot_occurred_max,entry_last_third_mean,entry_last_third_max,shot_10_15_mean,shot_10_15_max,progression_mean,progression_max,transition_speed_mean,transition_speed_max,shot_rate_mean,shot_rate_max
AVS,center_exit_pattern,center_exit_pattern,0.0,0,0.0,0,0.0,0,0.0,0,16.0,16,1.65,1.65,0.0,0
AVS,center_exit_pattern,interior_exterior_opposite_side,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0
AVS,interior_exterior_opposite_side,interior_exterior_opposite_side,0.0,0,0.0,0,0.0,0,0.0,0,11.0,11,0.76,0.76,0.0,0
AVS,interior_exterior_same_side,interior_exterior_same_side,0.0,0,0.0,0,0.33,1,0.0,0,4.67,12,2.22,5.75,0.0,0
AVS,other_pattern,other_pattern,0.0,0,0.0,0,0.0,0,0.0,0,-10.0,6,-2.24,0.8,0.0,0
AVS,outer_inner_exit,outer_inner_exit,0.0,0,0.0,0,1.0,1,0.0,0,16.0,16,5.47,5.47,0.0,0
AVS,switch_of_play,switch_of_play,0.0,0,0.0,0,1.0,1,0.0,0,-4.0,-4,-1.43,-1.43,0.0,0
Alverca,center_exit_pattern,center_exit_pattern,0.0,0,0.0,0,0.0,0,0.0,0,-5.67,0,-0.43,0.0,0.0,0
Alverca,interior_exterior_same_side,interior_exterior_same_side,0.0,0,0.0,0,0.0,0,0.0,0,-3.0,2,-0.1,1.0,0.0,0
Alverca,other_pattern,other_pattern,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0
Alverca,outer_inner_exit,outer_inner_exit,0.0,0,0.0,0,1.0,1,0.0,0,6.0,6,3.2,3.2,0.0,0
Alverca,outer_inner_exit,switch_of_play,15.0,15,0.0,0,0.0,0,0.0,0,3.0,3,3.0,3.0,0.0,0
Benfica,center_exit_pattern,center_exit_pattern,0.0,0,0.0,0,0.0,0,0.0,0,-38.0,-38,-4.8,-4.8,0.0,0
Benfica,interior_exterior_opposite_side,interior_exterior_opposite_side,0.0,0,0.0,0,0.0,0,0.0,0,-1.5,0,-0.5,0.0,0.0,0
Benfica,interior_exterior_same_side,interior_exterior_same_side,0.0,0,0.0,0,0.33,1,0.0,0,2.33,7,2.4,7.2,0.0,0
Benfica,other_pattern,other_pattern,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0
Benfica,outer_inner_exit,outer_inner_exit,0.0,0,0.0,0,0.0,0,0.0,0,-3.0,0,-0.22,0.0,0.0,0
Benfica,switch_of_play,switch_of_play,0.0,0,0.0,0,0.0,0,0.0,0,21.0,21,3.48,3.48,0.0,0
Casa Pia AC,center_exit_pattern,center_exit_pattern,0.0,0,0.0,0,0.5,1,0.0,0,9.0,18,3.07,6.13,0.0,0
Casa Pia AC,interior_exterior_opposite_side,interior_exterior_opposite_side,0.0,0,0.0,0,0.0,0,0.0,0,8.8,52,0.11,4.32,0.0,0
Casa Pia AC,interior_exterior_same_side,interior_exterior_same_side,0.0,0,0.0,0,0.25,1,0.0,0,18.5,68,2.72,6.78,0.0,0
Casa Pia AC,outer_inner_exit,outer_inner_exit,0.0,0,0.0,0,0.67,1,0.0,0,34.33,88,2.51,5.89,0.0,0
Casa Pia AC,switch_of_play,switch_of_play,0.0,0,0.0,0,0.0,0,0.0,0,24.0,60,2.67,4.01,0.0,0
Estoril,center_exit_pattern,center_exit_pattern,4.0,4,0.0,0,1.0,1,1.0,1,6.0,6,0.49,0.49,0.0,0
Estoril,interior_exterior_opposite_side,interior_exterior_opposite_side,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0
Estoril,interior_exterior_same_side,interior_exterior_same_side,0.0,0,0.0,0,0.2,1,0.0,0,14.0,26,1.6,3.23,0.0,0
Estoril,other_pattern,other_pattern,0.0,0,0.0,0,0.0,0,0.0,0,-11.5,11,-1.01,0.81,0.0,0
Estoril,outer_inner_exit,outer_inner_exit,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0
Estrela Amadora,interior_exterior_same_side,interior_exterior_same_side,0.0,0,0.0,0,0.5,1,0.0,0,35.0,59,4.23,7.34,0.0,0
Estrela Amadora,outer_inner_exit,outer_inner_exit,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0
FC Arouca,interior_exterior_opposite_side,interior_exterior_opposite_side,0.0,0,0.0,0,0.0,0,0.0,0,16.5,34,4.22,8.45,0.0,0
FC Arouca,interior_exterior_opposite_side,switch_of_play,22.0,22,0.0,0,0.0,0,0.0,0,8.0,8,7.8,7.8,0.0,0
