match_id,loss_possession,next_possession,n_shots,shot_occurred,entry_last_third,shot_10_15,progression,transition_speed,shot_rate
4005039,42,43,0,0,0,0,19,,0
4005039,84,85,0,0,0,0,10,,0
4005039,121,122,0,0,0,0,0,,0
4005050,29,30,0,0,0,0,0,,0
4005050,45,46,0,0,0,0,0,,0
4005050,61,62,0,0,0,0,41,,0
4005050,101,102,0,0,0,0,49,,0
4005050,123,124,0,0,0,0,9,,0
4005050,128,129,0,0,1,0,17,,0
4005050,140,141,0,0,0,0,17,,0
4005050,150,151,0,0,0,0,34,,0
4005050,157,158,0,0,1,0,48,,0
4005050,186,187,0,0,0,0,21,,0
4005739,26,27,0,0,1,0,39,,0
4005739,37,38,0,0,0,0,0,,0
4005739,79,80,0,0,0,0,0,,0
4005739,101,102,0,0,0,0,11,,0
4005739,123,124,0,0,1,0,35,,0
4005739,159,160,0,0,1,0,31,,0
4005739,211,212,0,0,0,0,0,,0
4005745,28,29,0,0,0,0,6,,0
4005745,31,32,0,0,0,0,6,,0
4005745,77,78,0,0,0,0,0,,0
4005745,165,166,0,0,1,0,12,,0
4005745,176,177,0,0,0,0,0,,0
4005753,29,30,0,0,0,0,0,,0
4005753,33,34,0,0,0,0,12,,0
4005753,69,70,1,1,1,0,0,3.0,1
4005753,165,166,0,0,1,0,10,,0
4005769,69,70,0,0,0,0,10,,0
4005769,124,125,0,0,0,0,7,,0
4005769,145,146,0,0,1,0,18,,0
4005769,176,177,0,0,0,0,0,,0
4005769,237,238,0,0,1,0,61,,0
4005776,18,19,0,0,0,0,15,,0
4005776,47,48,0,0,0,0,22,,0
4005776,75,76,0,0,0,0,6,,0
4005776,159,160,0,0,0,0,25,,0
4005780,33,34,0,0,0,0,0,,0
4005780,85,86,0,0,0,0,34,,0
4005780,96,97,0,0,0,0,0,,0
4005780,132,133,1,1,1,0,31,7.0,1
4005792,91,92,0,0,0,0,0,,0
4005792,103,104,0,0,1,0,19,,0
4005792,152,153,0,0,1,0,44,,0
4005792,167,168,0,0,0,0,3,,0
4005803,7,8,0,0,1,0,1,,0
4005803,31,32,0,0,0,0,3,,0
4005803,35,36,0,0,1,0,41,,0
4005803,45,46,0,0,0,0,0,,0
4005803,92,93,0,0,0,0,35,,0
4005803,143,144,0,0,0,0,14,,0
4005812,3,4,0,0,1,0,52,,0
4005812,62,63,0,0,0,0,2,,0
4005812,86,87,0,0,1,0,25,,0
4005812,104,105,0,0,0,0,0,,0
4005812,189,190,0,0,0,0,0,,0
4005812,210,211,0,0,1,0,33,,0
4005812,217,218,0,0,0,0,13,,0
4005812,237,238,0,0,0,0,13,,0
4005817,60,61,0,0,0,0,23,,0
4005817,110,111,0,0,0,0,22,,0
4005817,185,186,0,0,0,0,13,,0
4005817,195,196,0,0,1,0,0,,0
4005817,207,208,0,0,0,0,0,,0
4005828,72,73,0,0,0,0,0,,0
4005828,75,76,1,1,1,0,42,10.0,1
4005828,84,85,0,0,0,0,21,,0
4005828,114,115,1,1,1,0,3,3.0,1
4005828,137,138,1,1,1,0,12,1.0,1
4005828,146,147,0,0,1,0,24,,0
4005840,23,24,0,0,1,0,12,,0
4005840,48,49,0,0,0,0,12,,0
4005840,53,54,0,0,0,0,26,,0
4005840,88,89,0,0,0,0,0,,0
4005840,162,163,0,0,0,0,18,,0
4005840,190,191,1,1,1,1,25,13.0,1
