match_id,possession,first_event_id,first_event_index,first_player,first_position,first_start_x,first_end_x,n_actions_in_possession,n_distinct_players,validated_success_partial,validated_success_total,success_partial_start_action_number,success_partial_end_action_number,success_total_start_action_number,success_total_end_action_number,outcome_label
4005039,20,791e4b52-f899-5eeb-9040-a87c6e3b4736,263,Leonardo Javier Realpe Montaño,Right Center Back,5.4,5.9,19,8,True,True,8.0,10.0,12.0,14.0,success_total
4005039,41,0f767b97-a165-55ce-86ad-b959a0a91a0d,552,Justin de Haas,Left Center Back,5.6,3.8,10,3,True,False,3.0,5.0,,,success_partial
4005039,42,c5dfe647-413b-5188-845a-de40c99c23c2,571,Lazar Carević,Goalkeeper,6.0,13.0,7,5,True,False,4.0,6.0,,,success_partial
4005039,84,e010c290-a922-5561-af6c-99d08b8488ea,1178,Lazar Carević,Goalkeeper,11.2,29.2,9,4,True,False,2.0,4.0,,,success_partial
4005039,100,65eb9ae1-27e6-5587-a816-e9c8871e0d7c,1533,Leonardo Javier Realpe Montaño,Right Center Back,12.6,17.4,22,8,True,True,4.0,6.0,4.0,6.0,success_total
4005039,121,71c5751c-88d0-5d51-aafa-b454858d1d24,1902,Lazar Carević,Goalkeeper,7.0,5.4,5,3,False,False,,,,,unsuccessful
4005039,133,30373d7f-6813-5b36-a8f2-6bbd0def2822,2063,Lazar Carević,Goalkeeper,6.9,19.9,6,4,True,True,4.0,6.0,4.0,6.0,success_total
4005050,21,9c03cd52-25bd-5b11-8594-3edc542c897b,235,Lazar Carević,Goalkeeper,7.0,28.4,3,3,False,False,,,,,unsuccessful
4005050,29,49839661-6497-5dc7-8edc-481fcd2ea66c,313,Lazar Carević,Goalkeeper,14.7,22.0,9,5,True,False,7.0,9.0,,,success_partial
4005050,31,59d98734-6c22-5dec-a366-20747a9923ce,331,Justin de Haas,Left Center Back,35.8,27.4,27,8,True,True,5.0,7.0,17.0,19.0,success_total
4005050,40,767b56fd-dd87-541c-a500-2bfe9233ceb1,466,Lazar Carević,Goalkeeper,10.7,28.2,13,5,True,True,8.0,10.0,11.0,13.0,success_total
4005050,45,d0cf5f51-9ea3-5446-8095-f0453ae49990,533,Lazar Carević,Goalkeeper,14.0,37.4,7,4,False,False,,,,,unsuccessful
4005050,61,6275c6c2-5c46-5af2-9fa4-67655a7f5c4f,803,Lazar Carević,Goalkeeper,11.1,22.5,11,4,True,False,7.0,9.0,,,success_partial
4005050,71,8f95e6bb-e22e-531a-bc88-ca50a4e53e43,961,Lazar Carević,Goalkeeper,16.9,27.3,7,4,True,True,3.0,5.0,4.0,6.0,success_total
4005050,84,b685003c-8ad2-5465-9399-88f09d485468,1101,Leonardo Javier Realpe Montaño,Right Center Back,23.1,16.9,9,6,True,True,4.0,6.0,5.0,7.0,success_total
4005050,101,b10d6b07-a0ff-56ab-958d-2254e7a43a2e,1318,Lazar Carević,Goalkeeper,7.0,19.1,16,6,True,False,9.0,11.0,,,success_partial
4005050,103,c4b69685-c709-5452-a0a1-585497b61bc5,1358,Lazar Carević,Goalkeeper,7.0,17.5,15,7,True,True,6.0,8.0,9.0,11.0,success_total
4005050,110,42ecdbf2-9166-5cc6-9bb6-e67c50f5a189,1475,Lazar Carević,Goalkeeper,7.0,15.5,4,3,False,False,,,,,unsuccessful
4005050,123,abc52398-f888-5e61-b696-c4943413f5db,1650,Lazar Carević,Goalkeeper,14.9,37.2,7,4,False,False,,,,,unsuccessful
4005050,128,a42f6a94-aae9-5d3a-a5f2-70534b79cf77,1700,Lazar Carević,Goalkeeper,26.7,26.7,4,3,False,False,,,,,unsuccessful
4005050,140,c253559b-3edc-522d-915b-8e7a5bf9d5b2,1880,Lazar Carević,Goalkeeper,3.8,15.1,6,4,True,False,4.0,6.0,,,success_partial
4005050,145,1b14c3c9-dd2f-5551-aad3-b751df80431b,1943,Lazar Carević,Goalkeeper,10.9,29.0,23,8,True,True,3.0,5.0,11.0,13.0,success_total
4005050,150,8813f59d-8764-56a3-b7ae-f3d4ec424826,2041,Lazar Carević,Goalkeeper,10.3,33.4,5,3,True,False,2.0,4.0,,,success_partial
4005050,157,73e0eceb-7c31-5056-8331-3560c24d8bb7,2130,Lazar Carević,Goalkeeper,5.9,38.8,6,5,True,False,4.0,6.0,,,success_partial
4005050,181,dfac4e2d-8ef7-5186-8ecd-8403e4219791,2395,Lazar Carević,Goalkeeper,4.8,9.9,11,7,True,True,4.0,6.0,6.0,8.0,success_total
4005050,186,376940f1-3988-5d05-9f81-9250927648de,2522,Lazar Carević,Goalkeeper,4.4,5.9,5,3,False,False,,,,,unsuccessful
4005050,206,d769841b-f230-5b0f-b368-feb83a4faa38,2803,Lazar Carević,Goalkeeper,12.6,16.0,15,8,True,True,2.0,4.0,6.0,8.0,success_total
