position_11,avg_x,avg_y,window,pattern_name
AM,49.54342105263158,56.18421052631579,to_40,all
CF,60.88620689655173,37.82241379310344,to_40,all
CM,44.736111111111114,48.36388888888889,to_40,all
DM,38.49583333333333,32.80708333333333,to_40,all
GK,12.0354,39.6736,to_40,all
LB,32.29181034482759,7.165948275862069,to_40,all
LCB,24.2849173553719,23.029338842975207,to_40,all
LW,53.10689655172414,11.371264367816092,to_40,all
RB,35.681111111111115,71.24833333333333,to_40,all
RCB,25.330940594059406,56.361633663366334,to_40,all
RW,54.573239436619716,68.89999999999999,to_40,all
AM,56.13716814159292,55.89734513274336,to_60,all
CF,64.61204819277108,38.755421686746985,to_60,all
CM,50.88666666666666,45.81666666666667,to_60,all
DM,43.102114803625376,34.21842900302114,to_60,all
GK,12.32,39.753786407766995,to_60,all
LB,36.025899280575544,7.304676258992806,to_60,all
LCB,26.523956442831217,23.05589836660617,to_60,all
LW,61.39014084507042,10.154225352112677,to_60,all
RB,40.6410358565737,71.03386454183267,to_60,all
RCB,27.962420382165604,56.11656050955414,to_60,all
RW,60.503361344537815,69.10588235294118,to_60,all
AM,53.19375,50.10625,to_40,center_exit_pattern
CF,57.30833333333334,36.141666666666666,to_40,center_exit_pattern
CM,53.871428571428574,37.67142857142857,to_40,center_exit_pattern
DM,40.29056603773585,37.67169811320755,to_40,center_exit_pattern
GK,12.95,39.95483870967742,to_40,center_exit_pattern
LB,46.56666666666666,19.766666666666666,to_40,center_exit_pattern
LCB,29.038356164383565,25.261643835616436,to_40,center_exit_pattern
LW,42.279999999999994,29.360000000000003,to_40,center_exit_pattern
RB,29.066666666666666,58.699999999999996,to_40,center_exit_pattern
RCB,29.261666666666667,55.24166666666667,to_40,center_exit_pattern
RW,48.4,60.471428571428575,to_40,center_exit_pattern
AM,54.575,70.65,to_40,interior_exterior_opposite_side
CF,65.52857142857142,43.01428571428571,to_40,interior_exterior_opposite_side
CM,38.55714285714286,52.542857142857144,to_40,interior_exterior_opposite_side
DM,38.410714285714285,37.964285714285715,to_40,interior_exterior_opposite_side
GK,12.26,40.085,to_40,interior_exterior_opposite_side
LB,43.42903225806452,8.419354838709678,to_40,interior_exterior_opposite_side
LCB,24.956666666666667,23.107777777777777,to_40,interior_exterior_opposite_side
LW,65.59,9.43,to_40,interior_exterior_opposite_side
RB,40.2764705882353,70.46764705882353,to_40,interior_exterior_opposite_side
RCB,28.41318681318681,57.43736263736264,to_40,interior_exterior_opposite_side
RW,55.728571428571435,76.6,to_40,interior_exterior_opposite_side
AM,47.39393939393939,61.012121212121215,to_40,interior_exterior_same_side
CF,67.86842105263158,34.126315789473686,to_40,interior_exterior_same_side
CM,50.67272727272727,53.72727272727273,to_40,interior_exterior_same_side
DM,36.62564102564103,33.63974358974359,to_40,interior_exterior_same_side
GK,11.462032085561498,39.03368983957219,to_40,interior_exterior_same_side
LB,32.07171717171717,6.072727272727273,to_40,interior_exterior_same_side
LCB,22.222826086956523,22.87336956521739,to_40,interior_exterior_same_side
LW,56.66470588235294,9.308823529411764,to_40,interior_exterior_same_side
RB,34.96712328767123,71.95479452054795,to_40,interior_exterior_same_side
RCB,21.80802919708029,56.574452554744525,to_40,interior_exterior_same_side
RW,54.79333333333333,70.33,to_40,interior_exterior_same_side
AM,36.3,76.0,to_40,other_pattern
CF,57.542857142857144,28.82857142857143,to_40,other_pattern
CM,44.7,5.1,to_40,other_pattern
DM,40.93571428571429,28.25714285714286,to_40,other_pattern
GK,10.30566037735849,38.9622641509434,to_40,other_pattern
LB,23.74137931034483,7.306896551724138,to_40,other_pattern
LCB,20.124324324324323,25.645945945945947,to_40,other_pattern
LW,51.699999999999996,6.283333333333332,to_40,other_pattern
RB,32.410000000000004,75.08,to_40,other_pattern
RCB,17.754545454545454,52.4,to_40,other_pattern
RW,55.699999999999996,44.06666666666666,to_40,other_pattern
AM,43.776923076923076,50.54615384615385,to_40,outer_inner_exit
CF,48.99166666666667,48.75833333333333,to_40,outer_inner_exit
CM,36.14,51.35,to_40,outer_inner_exit
DM,38.0264705882353,25.86764705882353,to_40,outer_inner_exit
GK,11.745652173913042,40.280434782608694,to_40,outer_inner_exit
LB,26.674999999999997,6.780555555555555,to_40,outer_inner_exit
LCB,22.95142857142857,19.068571428571428,to_40,outer_inner_exit
LW,43.84090909090909,13.845454545454546,to_40,outer_inner_exit
RB,30.24074074074074,70.12962962962963,to_40,outer_inner_exit
RCB,27.948275862068964,56.313793103448276,to_40,outer_inner_exit
RW,55.36923076923077,71.6923076923077,to_40,outer_inner_exit
AM,61.275000000000006,45.4,to_40,switch_of_play
CF,104.8,23.6,to_40,switch_of_play
DM,39.554545454545455,27.73030303030303,to_40,switch_of_play
GK,13.945833333333333,40.77222222222222,to_40,switch_of_play
LB,34.758823529411764,8.382352941176471,to_40,switch_of_play
LCB,26.939999999999998,21.49846153846154,to_40,switch_of_play
LW,55.17,8.940000000000001,to_40,switch_of_play
RB,38.56969696969697,71.38484848484848,to_40,switch_of_play
RCB,26.209230769230768,56.80307692307692,to_40,switch_of_play
RW,55.91818181818182,68.93636363636364,to_40,switch_of_play
AM,54.175,49.28125,to_60,center_exit_pattern
CF,67.02222222222223,32.455555555555556,to_60,center_exit_pattern
CM,65.65,41.3,to_60,center_exit_pattern
DM,41.369230769230775,37.37435897435897,to_60,center_exit_pattern
GK,11.434883720930232,40.95116279069768,to_60,center_exit_pattern
LB,42.75,18.95,to_60,center_exit_pattern
