position_11,avg_x,avg_y,window,pattern_name
AM,49.733333333333334,56.024,to_40,all
CF,60.88620689655173,37.82241379310344,to_40,all
CM,47.8,45.24285714285715,to_40,all
DM,38.3609649122807,32.710087719298244,to_40,all
GK,12.113223140495869,39.627479338842974,to_40,all
LB,32.27333333333333,7.228,to_40,all
LCB,23.996120689655175,23.10991379310345,to_40,all
LW,52.720879120879125,11.719780219780219,to_40,all
RB,34.33413173652695,71.25149700598803,to_40,all
RCB,24.949869451697126,56.51801566579635,to_40,all
RW,52.62222222222222,69.16296296296296,to_40,all
AM,55.6091743119266,55.54587155963303,to_60,all
CF,64.61204819277108,38.755421686746985,to_60,all
CM,53.17560975609756,40.802439024390246,to_60,all
DM,43.03217665615142,34.29148264984227,to_60,all
GK,12.404609218436873,39.711623246492984,to_60,all
LB,35.64452830188679,7.447924528301887,to_60,all
LCB,26.003435114503816,23.088358778625953,to_60,all
LW,60.72587412587412,10.53986013986014,to_60,all
RB,39.6107296137339,71.01115879828326,to_60,all
RCB,27.115945330296128,56.3749430523918,to_60,all
RW,58.876335877862594,69.24122137404581,to_60,all
AM,53.19375,50.10625,to_40,center_exit_pattern
CF,57.30833333333334,36.141666666666666,to_40,center_exit_pattern
CM,49.46666666666667,38.35,to_40,center_exit_pattern
DM,40.29056603773585,37.67169811320755,to_40,center_exit_pattern
GK,13.0,40.029508196721316,to_40,center_exit_pattern
LB,46.56666666666666,19.766666666666666,to_40,center_exit_pattern
LCB,28.845070422535212,25.292957746478873,to_40,center_exit_pattern
LW,48.61666666666667,30.066666666666666,to_40,center_exit_pattern
RB,29.066666666666666,58.699999999999996,to_40,center_exit_pattern
RCB,29.01186440677966,55.24576271186441,to_40,center_exit_pattern
RW,48.4,60.471428571428575,to_40,center_exit_pattern
AM,54.575,70.65,to_40,interior_exterior_opposite_side
CF,65.52857142857142,43.01428571428571,to_40,interior_exterior_opposite_side
CM,35.18,49.6,to_40,interior_exterior_opposite_side
DM,38.288888888888884,37.144444444444446,to_40,interior_exterior_opposite_side
GK,12.297435897435898,39.77179487179487,to_40,interior_exterior_opposite_side
LB,43.42903225806452,8.419354838709678,to_40,interior_exterior_opposite_side
LCB,24.204597701149428,23.048275862068966,to_40,interior_exterior_opposite_side
LW,65.59,9.43,to_40,interior_exterior_opposite_side
RB,39.73939393939394,70.35757575757576,to_40,interior_exterior_opposite_side
RCB,28.06206896551724,57.41724137931035,to_40,interior_exterior_opposite_side
RW,53.78888888888889,72.88888888888889,to_40,interior_exterior_opposite_side
AM,47.39393939393939,61.012121212121215,to_40,interior_exterior_same_side
CF,67.86842105263158,34.126315789473686,to_40,interior_exterior_same_side
CM,52.45,54.3625,to_40,interior_exterior_same_side
DM,37.02054794520548,33.04657534246576,to_40,interior_exterior_same_side
GK,11.707303370786518,38.97865168539326,to_40,interior_exterior_same_side
LB,32.251041666666666,6.122916666666666,to_40,interior_exterior_same_side
LCB,22.290285714285716,22.861142857142855,to_40,interior_exterior_same_side
LW,57.108823529411765,9.799999999999999,to_40,interior_exterior_same_side
RB,32.28153846153847,72.01384615384615,to_40,interior_exterior_same_side
RCB,21.726356589147287,56.658139534883716,to_40,interior_exterior_same_side
RW,53.9,70.18125,to_40,interior_exterior_same_side
AM,36.3,76.0,to_40,other_pattern
CF,57.542857142857144,28.82857142857143,to_40,other_pattern
DM,40.93571428571429,28.25714285714286,to_40,other_pattern
GK,10.30566037735849,38.9622641509434,to_40,other_pattern
LB,23.74137931034483,7.306896551724138,to_40,other_pattern
LCB,20.124324324324323,25.645945945945947,to_40,other_pattern
LW,50.699999999999996,6.114285714285714,to_40,other_pattern
RB,32.410000000000004,75.08,to_40,other_pattern
RCB,17.754545454545454,52.4,to_40,other_pattern
RW,55.699999999999996,44.06666666666666,to_40,other_pattern
AM,44.48333333333333,49.074999999999996,to_40,outer_inner_exit
CF,48.99166666666667,48.75833333333333,to_40,outer_inner_exit
CM,55.75,18.55,to_40,outer_inner_exit
DM,36.06333333333334,25.60666666666667,to_40,outer_inner_exit
GK,11.927272727272726,40.49545454545454,to_40,outer_inner_exit
LB,26.085714285714285,6.865714285714286,to_40,outer_inner_exit
LCB,21.428125,19.446875,to_40,outer_inner_exit
LW,41.737500000000004,13.600000000000001,to_40,outer_inner_exit
RB,30.24074074074074,70.12962962962963,to_40,outer_inner_exit
RCB,26.61111111111111,57.27777777777778,to_40,outer_inner_exit
RW,49.078947368421055,72.97894736842105,to_40,outer_inner_exit
AM,61.275000000000006,45.4,to_40,switch_of_play
CF,104.8,23.6,to_40,switch_of_play
DM,39.34193548387096,28.45806451612903,to_40,switch_of_play
GK,13.652857142857144,40.72428571428571,to_40,switch_of_play
LB,34.770967741935486,8.580645161290322,to_40,switch_of_play
LCB,26.601612903225806,21.7758064516129,to_40,switch_of_play
LW,55.17,8.940000000000001,to_40,switch_of_play
RB,37.80344827586207,71.58275862068966,to_40,switch_of_play
RCB,25.26949152542373,57.34576271186441,to_40,switch_of_play
RW,55.91818181818182,68.93636363636364,to_40,switch_of_play
AM,54.175,49.28125,to_60,center_exit_pattern
CF,67.02222222222223,32.455555555555556,to_60,center_exit_pattern
CM,63.557142857142864,42.4,to_60,center_exit_pattern
DM,41.369230769230775,37.37435897435897,to_60,center_exit_pattern
GK,11.471428571428572,41.083333333333336,to_60,center_exit_pattern
LB,42.75,18.95,to_60,center_exit_pattern
LCB,25.01860465116279,26.06744186046512,to_60,center_exit_pattern
LW,56.025,29.05,to_60,center_exit_pattern
RB,20.9,66.3,to_60,center_exit_pattern
RCB,28.507142857142856,53.56428571428571,to_60,center_exit_pattern
RW,56.75454545454545,57.790909090909096,to_60,center_exit_pattern
AM,65.6,60.522222222222226,to_60,interior_exterior_opposite_side
CF,68.86,37.22,to_60,interior_exterior_opposite_side
CM,41.300000000000004,39.57142857142857,to_60,interior_exterior_opposite_side
DM,43.59375,40.109375,to_60,interior_exterior_opposite_side
GK,13.085542168674698,39.72409638554217,to_60,interior_exterior_opposite_side
LB,45.6,8.414705882352942,to_60,interior_exterior_opposite_side
LCB,26.453763440860214,22.813978494623655,to_60,interior_exterior_opposite_side
LW,69.35,9.334999999999999,to_60,interior_exterior_opposite_side
RB,43.67045454545455,68.96363636363637,to_60,interior_exterior_opposite_side
RCB,29.33978494623656,57.38924731182796,to_60,interior_exterior_opposite_side
RW,64.31818181818181,69.99090909090908,to_60,interior_exterior_opposite_side
AM,55.17272727272727,59.28409090909091,to_60,interior_exterior_same_side
CF,72.06666666666666,38.01,to_60,interior_exterior_same_side
CM,56.833333333333336,39.906666666666666,to_60,interior_exterior_same_side
DM,44.615,33.056,to_60,interior_exterior_same_side
GK,11.887150837988829,38.968715083798884,to_60,interior_exterior_same_side
LB,35.4,6.029411764705882,to_60,interior_exterior_same_side
LCB,23.834920634920636,22.977248677248678,to_60,interior_exterior_same_side
LW,63.87674418604651,8.876744186046512,to_60,interior_exterior_same_side
RB,38.4525,71.5625,to_60,interior_exterior_same_side
RCB,24.36906474820144,56.048920863309355,to_60,interior_exterior_same_side
RW,60.53061224489796,70.05918367346939,to_60,interior_exterior_same_side
AM,36.3,76.0,to_60,other_pattern
CF,54.36363636363637,38.690909090909095,to_60,other_pattern
DM,38.194736842105264,36.22631578947368,to_60,other_pattern
GK,10.145833333333334,39.09583333333333,to_60,other_pattern
LB,23.048148148148147,7.488888888888888,to_60,other_pattern
LCB,20.26764705882353,27.72941176470588,to_60,other_pattern
LW,57.57272727272728,5.7,to_60,other_pattern
RB,39.49090909090909,73.88181818181819,to_60,other_pattern
RCB,18.363636363636363,52.52272727272727,to_60,other_pattern
RW,70.24,53.8,to_60,other_pattern
AM,51.59285714285714,42.26428571428572,to_60,outer_inner_exit
CF,49.64666666666667,49.63333333333333,to_60,outer_inner_exit
CM,51.45,20.775,to_60,outer_inner_exit
DM,40.13529411764706,27.858823529411765,to_60,outer_inner_exit
GK,12.502500000000001,40.8175,to_60,outer_inner_exit
LB,26.0,7.406666666666666,to_60,outer_inner_exit
LCB,25.29705882352941,21.241176470588236,to_60,outer_inner_exit
LW,42.00454545454546,14.590909090909092,to_60,outer_inner_exit
RB,30.875,70.06071428571428,to_60,outer_inner_exit
RCB,29.744,58.528,to_60,outer_inner_exit
RW,51.6,72.71000000000001,to_60,outer_inner_exit
AM,57.57083333333333,57.04583333333333,to_60,switch_of_play
CF,70.7875,30.25,to_60,switch_of_play
CM,48.4875,52.175,to_60,switch_of_play
DM,43.88172043010753,34.28172043010753,to_60,switch_of_play
