micro_relation_id,micro_relation_name,success_partial,success_total,unsuccessful,total,freq_pct,success_partial_pct,success_total_pct,unsuccessful_pct
1,GR-CB's,31,42,38,111,32.1,27.9,37.8,34.2
2,GR-Médios,4,19,10,33,9.5,12.1,57.6,30.3
3,GR-extremo,2,1,0,3,0.9,66.7,33.3,0.0
4,GK-CB-DB,6,10,25,41,11.8,14.6,24.4,61.0
5,CB-Médio-Lateral,0,2,0,2,0.6,0.0,100.0,0.0
6,CB-Lateral-Médio,1,0,1,2,0.6,50.0,0.0,50.0
8,CB's-DB,4,1,2,7,2.0,57.1,14.3,28.6
9,GK/CB-CB-MC,10,15,10,35,10.1,28.6,42.9,28.6
10,CB-MC-CF,0,1,1,2,0.6,0.0,50.0,50.0
11,CB-MC-CB,3,0,0,3,0.9,100.0,0.0,0.0
12,CB-MC-MC,2,3,2,7,2.0,28.6,42.9,28.6
13,DB-W,5,7,4,16,4.6,31.2,43.8,25.0
14,DB-CF,1,1,1,3,0.9,33.3,33.3,33.3
15,GK/CB-CB-W,1,3,2,6,1.7,16.7,50.0,33.3
16,CB-GK-DB,3,2,3,8,2.3,37.5,25.0,37.5
17,CB-GK-DBO,2,2,6,10,2.9,20.0,20.0,60.0
18,CB-W-MC,1,0,2,3,0.9,33.3,0.0,66.7
19,CB-MC-CB_same,0,1,1,2,0.6,0.0,50.0,50.0
20,CB-MC-DBo,0,2,0,2,0.6,0.0,100.0,0.0
21,CB-MC-Wo,1,0,2,3,0.9,33.3,0.0,66.7
22,GK-DB-MC,3,3,4,10,2.9,30.0,30.0,40.0
23,GK-DB-CB,1,3,5,9,2.6,11.1,33.3,55.6
24,GK-CB-DBo,0,1,1,2,0.6,0.0,50.0,50.0
25,GK/CB-CB-Wo,0,1,1,2,0.6,0.0,50.0,50.0
26,GK/CB-CB-CF,2,4,0,6,1.7,33.3,66.7,0.0
27,Outros,5,8,5,18,5.2,27.8,44.4,27.8
