micro_relation_id,micro_relation_name,success_partial,success_total,unsuccessful,total,freq_pct,success_partial_pct,success_total_pct,unsuccessful_pct
1,GR-CB's,29,40,37,106,31.7,27.4,37.7,34.9
2,GR-Médios,4,17,10,31,9.3,12.9,54.8,32.3
3,GR-extremo,2,1,0,3,0.9,66.7,33.3,0.0
4,GK-CB-DB,6,10,24,40,12.0,15.0,25.0,60.0
5,CB-Médio-Lateral,0,2,0,2,0.6,0.0,100.0,0.0
6,CB-Lateral-Médio,0,0,1,1,0.3,0.0,0.0,100.0
8,CB's-DB,4,1,2,7,2.1,57.1,14.3,28.6
9,GK/CB-CB-MC,9,14,10,33,9.9,27.3,42.4,30.3
10,CB-MC-CF,0,1,1,2,0.6,0.0,50.0,50.0
11,CB-MC-CB,3,0,0,3,0.9,100.0,0.0,0.0
12,CB-MC-MC,2,3,2,7,2.1,28.6,42.9,28.6
13,DB-W,5,7,4,16,4.8,31.2,43.8,25.0
14,DB-CF,1,1,1,3,0.9,33.3,33.3,33.3
15,GK/CB-CB-W,1,3,2,6,1.8,16.7,50.0,33.3
16,CB-GK-DB,3,2,3,8,2.4,37.5,25.0,37.5
17,CB-GK-DBO,2,2,6,10,3.0,20.0,20.0,60.0
18,CB-W-MC,1,0,2,3,0.9,33.3,0.0,66.7
19,CB-MC-CB_same,0,1,1,2,0.6,0.0,50.0,50.0
20,CB-MC-DBo,0,2,0,2,0.6,0.0,100.0,0.0
21,CB-MC-Wo,1,0,2,3,0.9,33.3,0.0,66.7
22,GK-DB-MC,2,3,4,9,2.7,22.2,33.3,44.4
23,GK-DB-CB,1,3,5,9,2.7,11.1,33.3,55.6
24,GK-CB-DBo,0,1,1,2,0.6,0.0,50.0,50.0
25,GK/CB-CB-Wo,0,1,1,2,0.6,0.0,50.0,50.0
26,GK/CB-CB-CF,2,4,0,6,1.8,33.3,66.7,0.0
27,Outros,5,8,5,18,5.4,27.8,44.4,27.8
