origin_position_11,destination_position_11,n_passes,window,pattern_name
GK,LCB,149,to_40,all
GK,RCB,106,to_40,all
LCB,GK,82,to_40,all
LCB,LB,79,to_40,all
RCB,GK,68,to_40,all
RCB,RB,54,to_40,all
LCB,DM,53,to_40,all
LCB,RCB,46,to_40,all
RCB,LCB,43,to_40,all
LB,LW,38,to_40,all
GK,LB,32,to_40,all
RCB,DM,31,to_40,all
GK,DM,30,to_40,all
GK,RB,25,to_40,all
RB,RW,23,to_40,all
DM,LCB,19,to_40,all
RB,RCB,17,to_40,all
LB,LCB,16,to_40,all
DM,RCB,16,to_40,all
RB,AM,16,to_40,all
DM,LB,16,to_40,all
LB,DM,16,to_40,all
DM,AM,15,to_40,all
RCB,AM,15,to_40,all
DM,GK,13,to_40,all
DM,RB,13,to_40,all
LCB,CF,10,to_40,all
DM,LW,10,to_40,all
DM,DM,9,to_40,all
RW,AM,9,to_40,all
LW,DM,9,to_40,all
RCB,LW,9,to_40,all
AM,RB,9,to_40,all
LB,CF,9,to_40,all
AM,DM,8,to_40,all
AM,RW,8,to_40,all
RCB,CF,8,to_40,all
RCB,CM,7,to_40,all
LCB,CM,7,to_40,all
RB,CF,7,to_40,all
LCB,LW,7,to_40,all
CF,LW,7,to_40,all
GK,AM,6,to_40,all
RCB,RW,6,to_40,all
LB,GK,6,to_40,all
RB,CM,6,to_40,all
DM,RW,5,to_40,all
CF,DM,5,to_40,all
RW,RB,5,to_40,all
LCB,RB,5,to_40,all
RB,DM,5,to_40,all
RCB,LB,4,to_40,all
CM,CF,4,to_40,all
LW,CF,4,to_40,all
CM,DM,4,to_40,all
LCB,AM,3,to_40,all
RW,RCB,3,to_40,all
GK,CF,3,to_40,all
DM,CF,3,to_40,all
LCB,RW,3,to_40,all
RW,DM,3,to_40,all
CF,AM,3,to_40,all
LB,CM,3,to_40,all
GK,RW,3,to_40,all
CM,RB,3,to_40,all
LW,LCB,3,to_40,all
RB,GK,3,to_40,all
CM,CM,2,to_40,all
CF,LCB,2,to_40,all
AM,LW,2,to_40,all
RW,LW,2,to_40,all
CF,RW,2,to_40,all
CF,LB,2,to_40,all
LB,AM,2,to_40,all
AM,RCB,2,to_40,all
RCB,RCB,2,to_40,all
GK,LW,2,to_40,all
CM,LCB,1,to_40,all
CM,RW,1,to_40,all
GK,CM,1,to_40,all
DM,CM,1,to_40,all
LW,RW,1,to_40,all
AM,LB,1,to_40,all
LW,AM,1,to_40,all
LB,RW,1,to_40,all
CF,RB,1,to_40,all
CF,RCB,1,to_40,all
LW,RCB,1,to_40,all
AM,CF,1,to_40,all
RB,RB,1,to_40,all
LW,LB,1,to_40,all
LW,CM,1,to_40,all
LW,RB,1,to_40,all
CM,LW,1,to_40,all
RB,LB,1,to_40,all
GK,LCB,69,to_40,interior_exterior_same_side
GK,RCB,45,to_40,interior_exterior_same_side
LCB,LB,40,to_40,interior_exterior_same_side
LCB,GK,32,to_40,interior_exterior_same_side
GK,LCB,29,to_40,interior_exterior_opposite_side
RCB,RB,26,to_40,interior_exterior_same_side
GK,LCB,25,to_40,center_exit_pattern
RCB,GK,25,to_40,interior_exterior_same_side
GK,RCB,22,to_40,interior_exterior_opposite_side
LCB,DM,20,to_40,interior_exterior_same_side
GK,RCB,18,to_40,switch_of_play
LCB,GK,17,to_40,other_pattern
LB,LW,15,to_40,interior_exterior_same_side
LCB,LB,15,to_40,interior_exterior_opposite_side
LCB,RCB,15,to_40,interior_exterior_opposite_side
LCB,DM,15,to_40,center_exit_pattern
GK,DM,15,to_40,interior_exterior_same_side
GK,LCB,14,to_40,switch_of_play
LCB,LB,14,to_40,switch_of_play
GK,LB,13,to_40,outer_inner_exit
LCB,RCB,13,to_40,interior_exterior_same_side
RB,RW,12,to_40,interior_exterior_same_side
RCB,RB,12,to_40,switch_of_play
DM,LB,12,to_40,interior_exterior_same_side
RCB,GK,11,to_40,other_pattern
LCB,RCB,11,to_40,center_exit_pattern
GK,RCB,11,to_40,center_exit_pattern
RCB,RB,11,to_40,interior_exterior_opposite_side
RCB,GK,11,to_40,switch_of_play
RCB,GK,11,to_40,interior_exterior_opposite_side
RCB,DM,10,to_40,center_exit_pattern
RCB,LCB,10,to_40,interior_exterior_opposite_side
LCB,GK,10,to_40,interior_exterior_opposite_side
GK,LB,10,to_40,other_pattern
GK,RB,10,to_40,outer_inner_exit
LCB,GK,10,to_40,switch_of_play
RCB,LCB,9,to_40,center_exit_pattern
RCB,GK,9,to_40,center_exit_pattern
