zone,did_not_reach,reached,total,did_not_reach_pct,reached_pct,window,pattern_name
x_band_2__center,4,6,10,40.0,60.0,to_60,all
x_band_2__left_inner,9,7,16,56.2,43.8,to_60,all
x_band_2__left_outer,16,6,22,72.7,27.3,to_60,all
x_band_2__right_inner,4,15,19,21.1,78.9,to_60,all
x_band_2__right_outer,7,9,16,43.8,56.2,to_60,all
x_band_3__center,10,12,22,45.5,54.5,to_60,all
x_band_3__left_inner,10,15,25,40.0,60.0,to_60,all
x_band_3__left_outer,10,26,36,27.8,72.2,to_60,all
x_band_3__right_inner,15,15,30,50.0,50.0,to_60,all
x_band_3__right_outer,9,16,25,36.0,64.0,to_60,all
x_band_2__center,2,0,2,100.0,0.0,to_60,switch_of_play
x_band_2__left_outer,3,2,5,60.0,40.0,to_60,switch_of_play
x_band_2__right_inner,0,1,1,0.0,100.0,to_60,switch_of_play
x_band_2__right_outer,1,3,4,25.0,75.0,to_60,switch_of_play
x_band_3__center,0,3,3,0.0,100.0,to_60,switch_of_play
x_band_3__left_inner,2,2,4,50.0,50.0,to_60,switch_of_play
x_band_3__left_outer,0,9,9,0.0,100.0,to_60,switch_of_play
x_band_3__right_inner,0,3,3,0.0,100.0,to_60,switch_of_play
x_band_3__right_outer,3,9,12,25.0,75.0,to_60,switch_of_play
x_band_2__center,1,2,3,33.3,66.7,to_60,center_exit_pattern
x_band_2__left_inner,6,2,8,75.0,25.0,to_60,center_exit_pattern
x_band_2__right_inner,2,3,5,40.0,60.0,to_60,center_exit_pattern
x_band_3__center,2,1,3,66.7,33.3,to_60,center_exit_pattern
x_band_3__left_inner,2,0,2,100.0,0.0,to_60,center_exit_pattern
x_band_3__right_inner,3,2,5,60.0,40.0,to_60,center_exit_pattern
x_band_2__center,0,1,1,0.0,100.0,to_60,outer_inner_exit
x_band_2__left_inner,1,0,1,100.0,0.0,to_60,outer_inner_exit
x_band_2__left_outer,1,0,1,100.0,0.0,to_60,outer_inner_exit
x_band_2__right_inner,0,2,2,0.0,100.0,to_60,outer_inner_exit
x_band_2__right_outer,0,1,1,0.0,100.0,to_60,outer_inner_exit
x_band_3__center,4,0,4,100.0,0.0,to_60,outer_inner_exit
x_band_3__left_inner,4,0,4,100.0,0.0,to_60,outer_inner_exit
x_band_3__left_outer,1,1,2,50.0,50.0,to_60,outer_inner_exit
x_band_3__right_inner,2,1,3,66.7,33.3,to_60,outer_inner_exit
x_band_3__right_outer,0,3,3,0.0,100.0,to_60,outer_inner_exit
x_band_2__center,1,2,3,33.3,66.7,to_60,interior_exterior_same_side
x_band_2__left_inner,1,1,2,50.0,50.0,to_60,interior_exterior_same_side
x_band_2__left_outer,7,2,9,77.8,22.2,to_60,interior_exterior_same_side
x_band_2__right_inner,2,7,9,22.2,77.8,to_60,interior_exterior_same_side
x_band_2__right_outer,3,3,6,50.0,50.0,to_60,interior_exterior_same_side
x_band_3__center,2,4,6,33.3,66.7,to_60,interior_exterior_same_side
x_band_3__left_inner,2,10,12,16.7,83.3,to_60,interior_exterior_same_side
x_band_3__left_outer,5,11,16,31.2,68.8,to_60,interior_exterior_same_side
x_band_3__right_inner,6,6,12,50.0,50.0,to_60,interior_exterior_same_side
x_band_3__right_outer,3,4,7,42.9,57.1,to_60,interior_exterior_same_side
x_band_2__center,0,1,1,0.0,100.0,to_60,interior_exterior_opposite_side
x_band_2__left_inner,1,2,3,33.3,66.7,to_60,interior_exterior_opposite_side
x_band_2__left_outer,3,2,5,60.0,40.0,to_60,interior_exterior_opposite_side
x_band_2__right_inner,0,1,1,0.0,100.0,to_60,interior_exterior_opposite_side
x_band_2__right_outer,2,2,4,50.0,50.0,to_60,interior_exterior_opposite_side
x_band_3__center,2,3,5,40.0,60.0,to_60,interior_exterior_opposite_side
x_band_3__left_inner,0,1,1,0.0,100.0,to_60,interior_exterior_opposite_side
x_band_3__left_outer,4,5,9,44.4,55.6,to_60,interior_exterior_opposite_side
x_band_3__right_inner,4,2,6,66.7,33.3,to_60,interior_exterior_opposite_side
x_band_3__right_outer,3,0,3,100.0,0.0,to_60,interior_exterior_opposite_side
x_band_2__left_inner,0,2,2,0.0,100.0,to_60,other_pattern
x_band_2__left_outer,2,0,2,100.0,0.0,to_60,other_pattern
x_band_2__right_inner,0,1,1,0.0,100.0,to_60,other_pattern
x_band_2__right_outer,1,0,1,100.0,0.0,to_60,other_pattern
x_band_3__center,0,1,1,0.0,100.0,to_60,other_pattern
x_band_3__left_inner,0,2,2,0.0,100.0,to_60,other_pattern
x_band_3__right_inner,0,1,1,0.0,100.0,to_60,other_pattern
