match_id;match_date;opponent;team_name;team_match_high_press_shots_conceded;team_match_counter_attacking_shots_conceded;team_match_shots_in_clear_conceded;team_match_deep_progressions_conceded;team_match_xg_conceded_after_loss;VAP
4005039;2025-08-10;Santa Clara;Famalicão;0;0;0;16;0.0;1.6
4005050;2025-08-16;Tondela;Famalicão;1;0;1;60;0.238;12.0
4005739;2025-08-24;Gil Vicente;Famalicão;2;0;0;62;0.079;14.2
4005745;2025-08-30;AVS;Famalicão;1;0;0;63;0.148;10.3
4005753;2025-09-13;Sporting CP;Famalicão;1;0;0;47;0.039;8.7
4005769;2025-09-21;Casa Pia AC;Famalicão;0;0;0;43;0.0;4.3
4005776;2025-09-28;Rio Ave;Famalicão;0;0;0;28;0.0;2.8000000000000003
4005780;2025-10-05;FC Arouca;Famalicão;1;0;0;38;0.229;7.800000000000001
4005792;2025-10-26;Vitória Guimarães;Famalicão;0;0;0;69;0.114;6.9
4005803;2025-11-01;Nacional;Famalicão;0;0;0;42;0.0;4.2
4005812;2025-11-09;FC Porto;Famalicão;3;1;1;123;0.316;29.3
4005817;2025-11-29;Moreirense;Famalicão;1;0;1;46;0.837;10.600000000000001
4005828;2025-12-06;Sporting Braga;Famalicão;2;0;0;90;0.212;17.0
4005840;2025-12-14;Estoril;Famalicão;1;0;0;47;0.087;8.7
4005843;2025-12-22;Benfica;Famalicão;0;0;0;60;0.013;6.0
4005856;2025-12-27;Estrela Amadora;Famalicão;1;0;0;29;0.024;6.9
4005861;2026-01-04;Alverca;Famalicão;0;0;0;30;0.0;3.0
4005872;2026-01-18;Santa Clara;Famalicão;0;0;0;20;0.0;2.0
4005881;2026-01-25;Tondela;Famalicão;1;0;0;51;0.022;9.100000000000001
4005887;2026-02-01;Gil Vicente;Famalicão;2;0;0;47;0.113;12.7
4005904;2026-02-09;AVS;Famalicão;1;0;0;36;0.093;7.6
4005912;2026-02-15;Sporting CP;Famalicão;0;0;0;37;0.0;3.7
4005920;2026-02-23;Casa Pia AC;Famalicão;0;0;0;36;0.0;3.6
4005926;2026-03-01;Rio Ave;Famalicão;0;0;0;34;0.13;3.4000000000000004
4005938;2026-03-06;FC Arouca;Famalicão;0;0;1;19;0.306;3.9000000000000004
4005941;2026-03-14;Vitória Guimarães;Famalicão;0;0;0;23;0.0;2.3000000000000003
